id,lat,lng,name,category,capacity
1,141.1547039,39.7000633,盛岡市観光文化交流センター「プラザおでって」,school,30
2,141.1328018,39.7018853,アイーナ・いわて県民情報交流センター,school,60
3,141.1497927,39.7021741,サンビル(岩手県産業会館),school,120
4,141.1476877,39.7035064,ダイワロイネットホテル 盛岡,hotel,null
5,141.1445866,39.7053217,ドーミーイン盛岡,hotel,null
6,141.1424682,39.7038385,アートホテル盛岡,hotel,null
7,141.1344591,39.707102,スーパーホテル盛岡,hotel,null
8,141.1368758,39.7044042,ホテルメトロポリタン盛岡 ニューウイング,hotel,null
9,141.1324663,39.6999423,ユニゾインエクスプレス盛岡 / UNIZO INN Express Morioka,hotel,null
10,141.1445735,39.7075994,三和旅館,hotel,null
11,141.1603373,39.7059599,かわのそば Kawanosoba - A tiny private lodging -,hotel,null
12,141.1445742,39.7042939,ホテルエース盛岡,hotel,null
13,141.153376,39.7040484,北ホテル,hotel,null
14,141.1554139,39.6935942,ととと ー盛岡の泊まれるたまり場ー,hotel,null
15,141.1600943,39.6999544,サンセール盛岡,hotel,null
16,141.1385073,39.7006867,ホテルルートイン盛岡駅前,hotel,null
17,141.1497703,39.7027575,エスポワールいわて,hotel,null
18,141.1294699,39.7035383,盛岡ゲストハウス,hotel,null
19,141.1312847,39.702741,HOTEL JIN 盛岡駅前,hotel,null
20,141.1436106,39.7001683,旅館 大正館,hotel,null
21,141.1391184,39.7015679,東横INN盛岡駅南口駅前,hotel,null
22,141.1411657,39.703204,ホテルパールシティ 盛岡,hotel,null
23,141.1431667,39.7000441,熊ケ井旅館,hotel,null
24,141.1565753,39.7004865,東家本店,food,null
25,141.1547388,39.6949855,回転寿司すノ家 南大通店,food,null
26,141.1420896,39.7082304,福田パン 長田町本店,food,null
27,141.1379077,39.7023323,ぴょんぴょん舎 盛岡駅前店,food,null
28,141.1365983,39.702831,盛楼閣,food,null
29,141.1352115,39.6976768,Mi Cafeto 盛岡店,food,null
30,141.1306042,39.7035546,ら〜めん 初代,food,null
31,141.1351625,39.7069754,T stand MORIOKA,food,null
32,141.133294,39.7074838,RA-MEN IKKEN,food,null
33,141.1381545,39.7063529,MITAD-Y-MITAD -ミタ イ ミタ-,food,null
34,141.145393,39.7022277,三寿司 菜園総本店,food,null
35,141.1417449,39.7030901,AERON STANDARD(アーロンスタンダード）,food,null
36,141.1441466,39.705516,浜味屋,food,null
37,141.1483799,39.6998293,和かな 盛岡本店（ステーキ＆鉄板焼き）,food,null
38,141.1483942,39.6988746,蕎麦喰い処 やまや,food,null
39,141.1492858,39.7020862,ハンバーグのベル大通店,food,null
40,141.1616224,39.706154,ひだまり亭,food,null
41,141.153786,39.6979337,中華そば ふじわら屋,food,null
42,141.1618932,39.6957544,初駒 わんこそば 本店,food,null
43,141.1586483,39.697782,蕎麦将軍,food,null
44,141.156998,39.7053073,敲太楼山荘,food,null
45,141.1553069,39.7054486,ベルクール,food,null
